Function: 2-point correlation
Method: deterministic, exact
Number of grid cells: 256^3 (top-hat smoothing with shift)
Warning: none
Procorr version 1.9
--------------------------------------------------------------
Correlation scale r [input length unit], 2-point correlation xi(r)
 8.203E-01, 8.107E+00, 1.474E-04
 1.641E+00, 1.733E+00, 1.166E-04
 2.461E+00, 9.610E-01, 9.895E-05
 3.281E+00, 6.180E-01, 8.674E-05
 4.102E+00, 4.627E-01, 7.735E-05
 4.922E+00, 3.465E-01, 6.972E-05
 5.742E+00, 2.781E-01, 6.330E-05
 6.562E+00, 2.249E-01, 5.779E-05
 7.383E+00, 1.857E-01, 5.298E-05
 8.203E+00, 1.546E-01, 4.875E-05
 9.023E+00, 1.339E-01, 4.499E-05
 9.844E+00, 1.144E-01, 4.164E-05
 1.066E+01, 9.885E-02, 3.864E-05
 1.148E+01, 8.661E-02, 3.593E-05
 1.230E+01, 7.576E-02, 3.347E-05
 1.312E+01, 6.628E-02, 3.123E-05
 1.395E+01, 5.908E-02, 2.918E-05
 1.477E+01, 5.271E-02, 2.730E-05
 1.641E+01, 4.149E-02, 2.392E-05
 1.723E+01, 3.737E-02, 2.255E-05
 1.887E+01, 3.086E-02, 1.994E-05
 2.133E+01, 2.401E-02, 1.674E-05
 2.297E+01, 1.988E-02, 1.506E-05
 2.625E+01, 1.304E-02, 1.207E-05
 3.035E+01, 7.167E-03, 9.267E-06
 3.527E+01, 4.056E-03, 6.890E-06
 4.184E+01, 2.032E-03, 4.769E-06
 5.250E+01,-1.365E-03, 2.821E-06
