Function: power spectrum
Method: deterministic, exact
Number of grid cells: 256^3 (top-hat smoothing with shift)
Warning: some power lost by smoothing for k>1.219E+00
Procorr version 1.9
--------------------------------------------------------------
Wave vector k [1/input length unit], power spectrum p(k)
 4.500E-02, 4.350E+03, 1.154E+03
 6.785E-02, 3.462E+03, 6.091E+02
 9.415E-02, 2.030E+03, 2.574E+02
 1.217E-01, 1.490E+03, 1.462E+02
 1.526E-01, 1.051E+03, 8.218E+01
 1.832E-01, 9.020E+02, 5.876E+01
 2.116E-01, 6.671E+02, 3.763E+01
 2.401E-01, 5.101E+02, 2.536E+01
 2.710E-01, 4.402E+02, 1.939E+01
 3.020E-01, 3.993E+02, 1.578E+01
 3.310E-01, 3.509E+02, 1.265E+01
 3.599E-01, 2.891E+02, 9.588E+00
 3.903E-01, 2.603E+02, 7.962E+00
 4.205E-01, 2.223E+02, 6.312E+00
 4.493E-01, 2.135E+02, 5.671E+00
 4.789E-01, 1.822E+02, 4.542E+00
 5.096E-01, 1.690E+02, 3.958E+00
 5.401E-01, 1.592E+02, 3.517E+00
 5.696E-01, 1.515E+02, 3.175E+00
 5.990E-01, 1.363E+02, 2.716E+00
 6.293E-01, 1.298E+02, 2.462E+00
 6.593E-01, 1.196E+02, 2.166E+00
 6.888E-01, 1.124E+02, 1.948E+00
 7.184E-01, 1.087E+02, 1.806E+00
 7.484E-01, 1.001E+02, 1.597E+00
 7.788E-01, 9.528E+01, 1.460E+00
 8.087E-01, 9.011E+01, 1.330E+00
 8.386E-01, 8.671E+01, 1.234E+00
 8.686E-01, 8.315E+01, 1.143E+00
 8.983E-01, 7.982E+01, 1.061E+00
 9.281E-01, 7.511E+01, 9.660E-01
 9.578E-01, 7.455E+01, 9.290E-01
 9.876E-01, 7.007E+01, 8.470E-01
 1.018E+00, 6.777E+01, 7.948E-01
 1.048E+00, 6.487E+01, 7.390E-01
 1.078E+00, 6.360E+01, 7.046E-01
 1.108E+00, 6.017E+01, 6.485E-01
 1.138E+00, 5.852E+01, 6.141E-01
 1.167E+00, 5.644E+01, 5.772E-01
 1.197E+00, 5.507E+01, 5.491E-01
 1.227E+00, 5.419E+01, 5.272E-01
 1.257E+00, 5.220E+01, 4.956E-01
 1.287E+00, 5.055E+01, 4.688E-01
 1.317E+00, 4.929E+01, 4.468E-01
 1.347E+00, 4.742E+01, 4.202E-01
 1.377E+00, 4.596E+01, 3.984E-01
 1.406E+00, 4.507E+01, 3.826E-01
 1.436E+00, 4.423E+01, 3.676E-01
 1.466E+00, 4.305E+01, 3.504E-01
 1.497E+00, 4.149E+01, 3.309E-01
 1.526E+00, 3.988E+01, 3.118E-01
 1.556E+00, 3.893E+01, 2.986E-01
 1.586E+00, 3.858E+01, 2.903E-01
 1.616E+00, 3.702E+01, 2.734E-01
 1.646E+00, 3.625E+01, 2.629E-01
 1.676E+00, 3.561E+01, 2.537E-01
 1.706E+00, 3.481E+01, 2.436E-01
 1.736E+00, 3.372E+01, 2.319E-01
 1.766E+00, 3.266E+01, 2.208E-01
 1.795E+00, 3.205E+01, 2.131E-01
 1.826E+00, 3.126E+01, 2.044E-01
 1.855E+00, 3.058E+01, 1.967E-01
 1.885E+00, 2.970E+01, 1.881E-01
 1.915E+00, 2.924E+01, 1.823E-01
 1.945E+00, 2.841E+01, 1.744E-01
 1.975E+00, 2.765E+01, 1.671E-01
 2.005E+00, 2.697E+01, 1.606E-01
 2.035E+00, 2.637E+01, 1.547E-01
 2.065E+00, 2.604E+01, 1.506E-01
 2.095E+00, 2.519E+01, 1.435E-01
 2.125E+00, 2.470E+01, 1.388E-01
 2.154E+00, 2.427E+01, 1.345E-01
 2.184E+00, 2.380E+01, 1.301E-01
 2.214E+00, 2.323E+01, 1.252E-01
 2.244E+00, 2.263E+01, 1.203E-01
 2.274E+00, 2.221E+01, 1.166E-01
 2.304E+00, 2.160E+01, 1.119E-01
 2.334E+00, 2.129E+01, 1.089E-01
 2.364E+00, 2.053E+01, 1.037E-01
 2.394E+00, 2.030E+01, 1.012E-01
 2.424E+00, 1.974E+01, 9.725E-02
 2.454E+00, 1.928E+01, 9.381E-02
 2.484E+00, 1.904E+01, 9.151E-02
 2.513E+00, 1.845E+01, 8.762E-02
 2.543E+00, 1.797E+01, 8.434E-02
 2.573E+00, 1.772E+01, 8.222E-02
 2.603E+00, 1.746E+01, 8.007E-02
 2.633E+00, 1.708E+01, 7.742E-02
 2.663E+00, 1.659E+01, 7.437E-02
 2.693E+00, 1.634E+01, 7.244E-02
 2.723E+00, 1.616E+01, 7.085E-02
 2.753E+00, 1.576E+01, 6.835E-02
 2.783E+00, 1.543E+01, 6.618E-02
 2.813E+00, 1.505E+01, 6.389E-02
 2.842E+00, 1.482E+01, 6.226E-02
 2.872E+00, 1.450E+01, 6.026E-02
 2.902E+00, 1.420E+01, 5.841E-02
 2.932E+00, 1.406E+01, 5.726E-02
 2.962E+00, 1.369E+01, 5.516E-02
 2.992E+00, 1.357E+01, 5.414E-02
 3.022E+00, 1.320E+01, 5.214E-02
 3.052E+00, 1.287E+01, 5.034E-02
 3.082E+00, 1.276E+01, 4.941E-02
 3.112E+00, 1.242E+01, 4.765E-02
 3.142E+00, 1.221E+01, 4.641E-02
 3.172E+00, 1.198E+01, 4.510E-02
 3.202E+00, 1.176E+01, 4.385E-02
 3.231E+00, 1.162E+01, 4.291E-02
 3.261E+00, 1.143E+01, 4.183E-02
 3.292E+00, 1.114E+01, 4.040E-02
 3.321E+00, 1.102E+01, 3.963E-02
 3.351E+00, 1.079E+01, 3.844E-02
 3.381E+00, 1.065E+01, 3.760E-02
 3.411E+00, 1.052E+01, 3.681E-02
 3.441E+00, 1.033E+01, 3.585E-02
 3.471E+00, 1.022E+01, 3.515E-02
 3.501E+00, 9.996E+00, 3.409E-02
 3.531E+00, 9.753E+00, 3.298E-02
 3.561E+00, 9.753E+00, 3.270E-02
 3.590E+00, 9.592E+00, 3.190E-02
 3.620E+00, 9.502E+00, 3.134E-02
 3.650E+00, 9.275E+00, 3.034E-02
 3.680E+00, 9.182E+00, 2.979E-02
 3.710E+00, 9.109E+00, 2.931E-02
 3.740E+00, 8.957E+00, 2.859E-02
 3.770E+00, 8.868E+00, 2.809E-02
 3.800E+00, 8.749E+00, 2.749E-02
