# Nparticles = 134217728
# Redshift = 2.0529
# integrals: nbwsq   = 1.34218e+08
# integrals: nbsqwsq = 1.94519e+09
# power spectrum values
0 0.065 1376.69 25
1 0.075 1999.32 12
2 0.085 871.604 25
3 0.095 1054.89 28
4 0.105 889.592 20
5 0.115 779.987 29
6 0.125 649.554 48
7 0.135 704.708 52
8 0.145 644.44 45
9 0.155 445.468 56
10 0.165 358.68 72
11 0.175 478.539 93
12 0.185 431.636 68
13 0.195 374.219 100
14 0.205 374.579 97
15 0.215 279.297 176
16 0.225 241.867 100
17 0.235 233.16 93
18 0.245 226.999 192
19 0.255 203.67 164
20 0.265 210.826 153
21 0.275 189.717 180
22 0.285 166.383 200
23 0.295 198.309 201
24 0.305 180.952 276
25 0.315 171.857 228
26 0.325 142.174 229
27 0.335 153.681 320
28 0.345 127.483 252
29 0.355 117.955 249
30 0.365 118.709 384
31 0.375 114.021 372
32 0.385 120.151 297
33 0.395 97.1189 400
34 0.405 95.7758 460
35 0.415 94.9226 417
36 0.425 89.6091 468
37 0.435 92.3961 392
38 0.445 81.7994 493
39 0.455 86.53 532
40 0.465 79.0521 516
41 0.475 73.423 509
42 0.485 68.65 560
43 0.495 70.528 616
44 0.505 67.6978 605
45 0.515 68.1255 716
46 0.525 72.0922 520
47 0.535 60.6119 749
48 0.545 58.6192 636
49 0.555 57.0864 916
50 0.565 61.5124 657
51 0.575 53.9585 856
52 0.585 55.29 724
53 0.595 51.1744 957
54 0.605 50.1935 860
55 0.615 53.4095 960
56 0.625 48.0485 889
57 0.635 46.7963 884
58 0.645 47.352 1064
59 0.655 43.0888 1073
60 0.665 42.0041 1056
61 0.675 42.8046 1060
62 0.685 39.4102 1157
63 0.695 39.4084 1168
64 0.705 39.2369 1172
65 0.715 38.4512 1149
66 0.725 37.8557 1416
67 0.735 36.6431 1160
68 0.745 36.0005 1305
69 0.755 36.2842 1440
70 0.765 34.7711 1476
71 0.775 35.1391 1289
72 0.785 31.7444 1500
73 0.795 33.5003 1580
74 0.805 32.153 1421
75 0.815 30.756 1756
76 0.825 30.338 1424
77 0.835 30.5403 1725
78 0.845 30.2746 1788
79 0.855 28.8406 1828
80 0.865 28.5563 1597
81 0.875 28.6483 1832
82 0.885 28.0922 1912
83 0.895 26.6924 1833
84 0.905 26.8417 2028
85 0.915 25.5095 2064
86 0.925 25.0222 2105
87 0.935 26.3798 2140
88 0.945 24.8497 1824
89 0.955 25.3986 2437
90 0.965 24.0185 2264
91 0.975 23.4591 1992
92 0.985 23.6596 2357
93 0.995 23.8444 2408
94 1.005 22.8344 2464
95 1.015 22.3634 2473
96 1.025 22.1692 2432
97 1.035 21.9466 2500
98 1.045 20.6937 2621
99 1.055 21.1254 2696
100 1.065 20.923 2732
101 1.075 21.4093 2661
102 1.085 20.5196 2956
103 1.095 20.2817 2724
104 1.105 19.3303 2749
105 1.115 19.2059 3148
106 1.125 19.8007 3104
107 1.135 19.4187 2913
108 1.145 18.9354 3192
109 1.155 18.7545 3056
110 1.165 18.2701 3413
111 1.175 18.273 3184
112 1.185 18.0908 3316
113 1.195 17.9336 3257
114 1.205 17.9914 3584
115 1.215 17.5077 3516
116 1.225 17.3581 3581
117 1.235 16.5266 3596
118 1.245 16.4225 3608
119 1.255 16.4337 3889
120 1.265 16.5844 3560
121 1.275 16.4789 4152
122 1.285 16.1022 3613
123 1.295 16.1498 4112
124 1.305 15.5405 3928
125 1.315 15.2304 4341
126 1.325 15.7239 4008
127 1.335 15.4178 4268
128 1.345 14.8334 4197
129 1.355 15.788 4624
130 1.365 14.9793 4140
131 1.375 14.8183 4529
132 1.385 14.4406 4732
133 1.395 14.521 4628
134 1.405 13.9297 4533
135 1.415 14.1531 4820
136 1.425 13.8639 4608
137 1.435 13.7798 5065
138 1.445 13.6677 4896
139 1.455 13.6327 5136
140 1.465 13.2639 4897
141 1.475 13.445 5244
142 1.485 13.0535 5124
143 1.495 13.0202 5297
144 1.505 13.0946 5628
145 1.515 12.7475 5156
146 1.525 12.7224 5741
147 1.535 12.686 5564
148 1.545 12.5029 5596
149 1.555 12.352 5749
150 1.565 12.3549 5700
151 1.575 12.2428 5748
152 1.585 12.4412 5937
153 1.595 12.179 6220
154 1.605 11.8515 6080
155 1.615 11.7708 6121
156 1.625 11.5805 6364
157 1.635 11.7221 6148
158 1.645 11.6561 6533
159 1.655 11.2426 6700
160 1.665 11.3311 6464
161 1.675 11.2284 6569
162 1.685 11.1601 6880
163 1.695 11.2959 6548
164 1.705 11.2267 6849
165 1.715 10.9815 7016
166 1.725 10.9147 7136
167 1.735 10.6052 7225
168 1.745 11.0066 7112
169 1.755 10.5754 6940
170 1.765 10.8152 7585
171 1.775 10.4325 7584
172 1.785 10.394 7564
173 1.795 10.2492 7569
174 1.805 10.5587 7956
175 1.815 10.2254 7192
176 1.825 10.3795 7993
177 1.835 10.0803 8148
178 1.845 10.0795 8124
179 1.855 0 0
