#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.712656E-02   0.168511E+08   0.168458E+08  -0.829770E+04  -0.830082E+04   0.000000E+00   0.168503E+08   0.168503E+08   0.168503E+08  -0.400025E+00   0.883487E+07   0.883482E+07   0.230808E+01
   0.736812E-02   0.167386E+08   0.167330E+08  -0.771069E+04  -0.771359E+04   0.000000E+00   0.167377E+08   0.167377E+08   0.167377E+08  -0.397353E+00   0.877586E+07   0.877581E+07   0.236400E+01
   0.761786E-02   0.166229E+08   0.166169E+08  -0.716349E+04  -0.716619E+04   0.000000E+00   0.166219E+08   0.166219E+08   0.166219E+08  -0.394604E+00   0.871515E+07   0.871509E+07   0.242088E+01
   0.787607E-02   0.165038E+08   0.164975E+08  -0.665348E+04  -0.665599E+04   0.000000E+00   0.165028E+08   0.165028E+08   0.165028E+08  -0.391777E+00   0.865271E+07   0.865266E+07   0.247870E+01
   0.814303E-02   0.163815E+08   0.163748E+08  -0.617820E+04  -0.618052E+04   0.000000E+00   0.163804E+08   0.163804E+08   0.163804E+08  -0.388871E+00   0.858853E+07   0.858846E+07   0.253743E+01
   0.841904E-02   0.162557E+08   0.162486E+08  -0.573535E+04  -0.573751E+04   0.000000E+00   0.162546E+08   0.162546E+08   0.162546E+08  -0.385884E+00   0.852256E+07   0.852249E+07   0.259703E+01
   0.870440E-02   0.161265E+08   0.161190E+08  -0.532278E+04  -0.532479E+04   0.000000E+00   0.161253E+08   0.161253E+08   0.161253E+08  -0.382815E+00   0.845478E+07   0.845471E+07   0.265746E+01
   0.899944E-02   0.159938E+08   0.159858E+08  -0.493850E+04  -0.494036E+04   0.000000E+00   0.159926E+08   0.159926E+08   0.159926E+08  -0.379663E+00   0.838516E+07   0.838509E+07   0.271867E+01
   0.930448E-02   0.158576E+08   0.158491E+08  -0.458061E+04  -0.458234E+04   0.000000E+00   0.158562E+08   0.158562E+08   0.158562E+08  -0.376426E+00   0.831368E+07   0.831361E+07   0.278061E+01
   0.961985E-02   0.157177E+08   0.157087E+08  -0.424738E+04  -0.424898E+04   0.000000E+00   0.157163E+08   0.157163E+08   0.157163E+08  -0.373104E+00   0.824031E+07   0.824023E+07   0.284320E+01
   0.994592E-02   0.155742E+08   0.155646E+08  -0.393714E+04  -0.393863E+04   0.000000E+00   0.155727E+08   0.155727E+08   0.155727E+08  -0.369695E+00   0.816502E+07   0.816494E+07   0.290637E+01
   0.102830E-01   0.154270E+08   0.154168E+08  -0.364838E+04  -0.364976E+04   0.000000E+00   0.154254E+08   0.154254E+08   0.154254E+08  -0.366198E+00   0.808779E+07   0.808770E+07   0.297004E+01
   0.106316E-01   0.152760E+08   0.152652E+08  -0.337966E+04  -0.338094E+04   0.000000E+00   0.152743E+08   0.152743E+08   0.152743E+08  -0.362612E+00   0.800858E+07   0.800848E+07   0.303410E+01
   0.109919E-01   0.151212E+08   0.151098E+08  -0.312964E+04  -0.313082E+04   0.000000E+00   0.151194E+08   0.151194E+08   0.151194E+08  -0.358935E+00   0.792738E+07   0.792727E+07   0.309844E+01
   0.113645E-01   0.149626E+08   0.149505E+08  -0.289706E+04  -0.289815E+04   0.000000E+00   0.149607E+08   0.149607E+08   0.149607E+08  -0.355167E+00   0.784415E+07   0.784404E+07   0.316295E+01
   0.117497E-01   0.148001E+08   0.147873E+08  -0.268076E+04  -0.268177E+04   0.000000E+00   0.147981E+08   0.147981E+08   0.147981E+08  -0.351305E+00   0.775887E+07   0.775876E+07   0.322747E+01
   0.121480E-01   0.146336E+08   0.146200E+08  -0.247964E+04  -0.248057E+04   0.000000E+00   0.146315E+08   0.146315E+08   0.146315E+08  -0.347351E+00   0.767153E+07   0.767141E+07   0.329186E+01
   0.125597E-01   0.144632E+08   0.144488E+08  -0.229268E+04  -0.229354E+04   0.000000E+00   0.144609E+08   0.144609E+08   0.144609E+08  -0.343301E+00   0.758209E+07   0.758196E+07   0.335594E+01
   0.129854E-01   0.142887E+08   0.142735E+08  -0.211892E+04  -0.211972E+04   0.000000E+00   0.142863E+08   0.142863E+08   0.142863E+08  -0.339156E+00   0.749054E+07   0.749041E+07   0.341953E+01
   0.134256E-01   0.141101E+08   0.140941E+08  -0.195747E+04  -0.195821E+04   0.000000E+00   0.141076E+08   0.141076E+08   0.141076E+08  -0.334914E+00   0.739686E+07   0.739672E+07   0.348241E+01
   0.138806E-01   0.139275E+08   0.139106E+08  -0.180751E+04  -0.180819E+04   0.000000E+00   0.139248E+08   0.139248E+08   0.139248E+08  -0.330575E+00   0.730103E+07   0.730089E+07   0.354435E+01
   0.143511E-01   0.137408E+08   0.137229E+08  -0.166825E+04  -0.166887E+04   0.000000E+00   0.137380E+08   0.137380E+08   0.137380E+08  -0.326139E+00   0.720305E+07   0.720289E+07   0.360511E+01
