#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.156948E+00   0.148244E+07   0.147427E+07  -0.150393E+01  -0.150450E+01   0.000000E+00   0.148115E+07   0.148115E+07   0.148115E+07  -0.351625E-01   0.776600E+06   0.776546E+06   0.114574E+00
   0.159691E+00   0.144237E+07   0.143413E+07  -0.141340E+01  -0.141393E+01   0.000000E+00   0.144107E+07   0.144107E+07   0.144107E+07  -0.342110E-01   0.755584E+06   0.755529E+06   0.114503E+00
   0.162434E+00   0.140543E+07   0.139722E+07  -0.133106E+01  -0.133157E+01   0.000000E+00   0.140414E+07   0.140414E+07   0.140414E+07  -0.333343E-01   0.736222E+06   0.736167E+06   0.112470E+00
   0.165177E+00   0.137182E+07   0.136372E+07  -0.125642E+01  -0.125690E+01   0.000000E+00   0.137054E+07   0.137054E+07   0.137054E+07  -0.325367E-01   0.718605E+06   0.718552E+06   0.108603E+00
   0.167920E+00   0.134150E+07   0.133362E+07  -0.118885E+01  -0.118930E+01   0.000000E+00   0.134026E+07   0.134026E+07   0.134026E+07  -0.318178E-01   0.702729E+06   0.702677E+06   0.103159E+00
   0.170663E+00   0.131428E+07   0.130669E+07  -0.112760E+01  -0.112802E+01   0.000000E+00   0.131309E+07   0.131309E+07   0.131309E+07  -0.311726E-01   0.688479E+06   0.688430E+06   0.964869E-01
   0.173406E+00   0.128976E+07   0.128251E+07  -0.107185E+01  -0.107225E+01   0.000000E+00   0.128862E+07   0.128862E+07   0.128862E+07  -0.305918E-01   0.675650E+06   0.675604E+06   0.889940E-01
   0.176149E+00   0.126744E+07   0.126058E+07  -0.102078E+01  -0.102116E+01   0.000000E+00   0.126636E+07   0.126636E+07   0.126636E+07  -0.300634E-01   0.663979E+06   0.663936E+06   0.811078E-01
   0.178892E+00   0.124678E+07   0.124034E+07  -0.973611E+00  -0.973978E+00   0.000000E+00   0.124577E+07   0.124577E+07   0.124577E+07  -0.295745E-01   0.653181E+06   0.653142E+06   0.732438E-01
   0.181635E+00   0.122726E+07   0.122122E+07  -0.929671E+00  -0.930022E+00   0.000000E+00   0.122631E+07   0.122631E+07   0.122631E+07  -0.291126E-01   0.642980E+06   0.642944E+06   0.657770E-01
   0.184378E+00   0.120842E+07   0.120276E+07  -0.888388E+00  -0.888722E+00   0.000000E+00   0.120753E+07   0.120753E+07   0.120753E+07  -0.286666E-01   0.633129E+06   0.633097E+06   0.590200E-01
   0.187121E+00   0.118984E+07   0.118453E+07  -0.849296E+00  -0.849616E+00   0.000000E+00   0.118900E+07   0.118900E+07   0.118900E+07  -0.282269E-01   0.623417E+06   0.623387E+06   0.532085E-01
   0.189864E+00   0.117119E+07   0.116618E+07  -0.812026E+00  -0.812332E+00   0.000000E+00   0.117041E+07   0.117041E+07   0.117041E+07  -0.277854E-01   0.613665E+06   0.613638E+06   0.484936E-01
   0.192608E+00   0.115222E+07   0.114744E+07  -0.776291E+00  -0.776584E+00   0.000000E+00   0.115147E+07   0.115147E+07   0.115147E+07  -0.273358E-01   0.603735E+06   0.603709E+06   0.449407E-01
   0.195351E+00   0.113272E+07   0.112811E+07  -0.741882E+00  -0.742161E+00   0.000000E+00   0.113200E+07   0.113200E+07   0.113200E+07  -0.268735E-01   0.593526E+06   0.593501E+06   0.425343E-01
   0.198094E+00   0.111260E+07   0.110809E+07  -0.708665E+00  -0.708932E+00   0.000000E+00   0.111189E+07   0.111189E+07   0.111189E+07  -0.263963E-01   0.582986E+06   0.582961E+06   0.411870E-01
   0.200837E+00   0.109185E+07   0.108739E+07  -0.676579E+00  -0.676834E+00   0.000000E+00   0.109115E+07   0.109115E+07   0.109115E+07  -0.259039E-01   0.572111E+06   0.572087E+06   0.407537E-01
   0.203580E+00   0.107057E+07   0.106611E+07  -0.645627E+00  -0.645870E+00   0.000000E+00   0.106987E+07   0.106987E+07   0.106987E+07  -0.253986E-01   0.560951E+06   0.560926E+06   0.410472E-01
   0.206323E+00   0.104892E+07   0.104442E+07  -0.615853E+00  -0.616085E+00   0.000000E+00   0.104821E+07   0.104821E+07   0.104821E+07  -0.248845E-01   0.549598E+06   0.549572E+06   0.418560E-01
   0.209066E+00   0.102714E+07   0.102257E+07  -0.587329E+00  -0.587551E+00   0.000000E+00   0.102642E+07   0.102642E+07   0.102642E+07  -0.243671E-01   0.538170E+06   0.538143E+06   0.429610E-01
   0.211809E+00   0.100547E+07   0.100082E+07  -0.560133E+00  -0.560344E+00   0.000000E+00   0.100474E+07   0.100474E+07   0.100474E+07  -0.238525E-01   0.526805E+06   0.526777E+06   0.441517E-01
   0.214552E+00   0.984184E+06   0.979450E+06  -0.534331E+00  -0.534532E+00   0.000000E+00   0.983439E+06   0.983439E+06   0.983439E+06  -0.233468E-01   0.515636E+06   0.515607E+06   0.452392E-01
   0.217295E+00   0.963512E+06   0.958708E+06  -0.509972E+00  -0.510164E+00   0.000000E+00   0.962756E+06   0.962756E+06   0.962756E+06  -0.228558E-01   0.504792E+06   0.504762E+06   0.460666E-01
   0.225986E+00   0.904209E+06   0.899348E+06  -0.442459E+00  -0.442626E+00   0.000000E+00   0.903444E+06   0.903444E+06   0.903444E+06  -0.214477E-01   0.473694E+06   0.473663E+06   0.458890E-01
   0.235024E+00   0.854786E+06   0.850207E+06  -0.386723E+00  -0.386869E+00   0.000000E+00   0.854066E+06   0.854066E+06   0.854066E+06  -0.202755E-01   0.447804E+06   0.447775E+06   0.409421E-01
   0.244424E+00   0.814367E+06   0.810319E+06  -0.340661E+00  -0.340789E+00   0.000000E+00   0.813730E+06   0.813730E+06   0.813730E+06  -0.193179E-01   0.426655E+06   0.426630E+06   0.332955E-01
   0.254200E+00   0.777192E+06   0.773660E+06  -0.300602E+00  -0.300716E+00   0.000000E+00   0.776636E+06   0.776636E+06   0.776636E+06  -0.184373E-01   0.407205E+06   0.407185E+06   0.266804E-01
   0.264366E+00   0.737725E+06   0.734471E+06  -0.263818E+00  -0.263917E+00   0.000000E+00   0.737213E+06   0.737213E+06   0.737213E+06  -0.175014E-01   0.386535E+06   0.386516E+06   0.235444E-01
   0.274940E+00   0.694699E+06   0.691471E+06  -0.229684E+00  -0.229771E+00   0.000000E+00   0.694191E+06   0.694191E+06   0.694191E+06  -0.164801E-01   0.363978E+06   0.363959E+06   0.233468E-01
   0.285936E+00   0.651732E+06   0.648476E+06  -0.199215E+00  -0.199290E+00   0.000000E+00   0.651220E+06   0.651220E+06   0.651220E+06  -0.154599E-01   0.341448E+06   0.341428E+06   0.234490E-01
   0.297372E+00   0.613751E+06   0.610615E+06  -0.173450E+00  -0.173516E+00   0.000000E+00   0.613257E+06   0.613257E+06   0.613257E+06  -0.145587E-01   0.321543E+06   0.321524E+06   0.217548E-01
   0.309265E+00   0.581595E+06   0.578742E+06  -0.151968E+00  -0.152025E+00   0.000000E+00   0.581146E+06   0.581146E+06   0.581146E+06  -0.137964E-01   0.304706E+06   0.304689E+06   0.185323E-01
   0.321634E+00   0.552085E+06   0.549515E+06  -0.133380E+00  -0.133430E+00   0.000000E+00   0.551680E+06   0.551680E+06   0.551680E+06  -0.130969E-01   0.289257E+06   0.289242E+06   0.156577E-01
   0.334498E+00   0.521526E+06   0.519100E+06  -0.116493E+00  -0.116536E+00   0.000000E+00   0.521144E+06   0.521144E+06   0.521144E+06  -0.123719E-01   0.273246E+06   0.273232E+06   0.143034E-01
   0.347876E+00   0.490264E+06   0.487889E+06  -0.101246E+00  -0.101284E+00   0.000000E+00   0.489891E+06   0.489891E+06   0.489891E+06  -0.116300E-01   0.256859E+06   0.256845E+06   0.137904E-01
   0.361789E+00   0.461282E+06   0.458999E+06  -0.880738E-01  -0.881070E-01   0.000000E+00   0.460922E+06   0.460922E+06   0.460922E+06  -0.109423E-01   0.241671E+06   0.241657E+06   0.128212E-01
   0.376259E+00   0.435812E+06   0.433702E+06  -0.769349E-01  -0.769639E-01   0.000000E+00   0.435480E+06   0.435480E+06   0.435480E+06  -0.103383E-01   0.228331E+06   0.228318E+06   0.112278E-01
   0.391307E+00   0.411970E+06   0.410023E+06  -0.672410E-01  -0.672663E-01   0.000000E+00   0.411663E+06   0.411663E+06   0.411663E+06  -0.977287E-02   0.215843E+06   0.215832E+06   0.985801E-02
   0.406957E+00   0.388058E+06   0.386205E+06  -0.585599E-01  -0.585819E-01   0.000000E+00   0.387766E+06   0.387766E+06   0.387766E+06  -0.920555E-02   0.203313E+06   0.203302E+06   0.909922E-02
   0.423233E+00   0.364971E+06   0.363195E+06  -0.509207E-01  -0.509398E-01   0.000000E+00   0.364691E+06   0.364691E+06   0.364691E+06  -0.865775E-02   0.191215E+06   0.191204E+06   0.845178E-02
   0.440160E+00   0.343973E+06   0.342310E+06  -0.443710E-01  -0.443877E-01   0.000000E+00   0.343711E+06   0.343711E+06   0.343711E+06  -0.815968E-02   0.180214E+06   0.180204E+06   0.756828E-02
   0.457765E+00   0.324403E+06   0.322854E+06  -0.386902E-01  -0.387048E-01   0.000000E+00   0.324159E+06   0.324159E+06   0.324159E+06  -0.769553E-02   0.169963E+06   0.169954E+06   0.673887E-02
   0.476073E+00   0.305351E+06   0.303885E+06  -0.336706E-01  -0.336833E-01   0.000000E+00   0.305120E+06   0.305120E+06   0.305120E+06  -0.724353E-02   0.159980E+06   0.159972E+06   0.616059E-02
   0.495113E+00   0.287260E+06   0.285872E+06  -0.292862E-01  -0.292972E-01   0.000000E+00   0.287041E+06   0.287041E+06   0.287041E+06  -0.681434E-02   0.150501E+06   0.150493E+06   0.562181E-02
   0.514915E+00   0.270509E+06   0.269210E+06  -0.254982E-01  -0.255078E-01   0.000000E+00   0.270305E+06   0.270305E+06   0.270305E+06  -0.641702E-02   0.141726E+06   0.141718E+06   0.504213E-02
   0.535509E+00   0.254608E+06   0.253387E+06  -0.221890E-01  -0.221974E-01   0.000000E+00   0.254416E+06   0.254416E+06   0.254416E+06  -0.603983E-02   0.133395E+06   0.133388E+06   0.455580E-02
   0.556927E+00   0.239437E+06   0.238284E+06  -0.192928E-01  -0.193000E-01   0.000000E+00   0.239256E+06   0.239256E+06   0.239256E+06  -0.567992E-02   0.125447E+06   0.125440E+06   0.414384E-02
   0.579201E+00   0.225237E+06   0.224155E+06  -0.167796E-01  -0.167859E-01   0.000000E+00   0.225067E+06   0.225067E+06   0.225067E+06  -0.534308E-02   0.118007E+06   0.118001E+06   0.373665E-02
   0.602366E+00   0.211834E+06   0.210817E+06  -0.145907E-01  -0.145962E-01   0.000000E+00   0.211674E+06   0.211674E+06   0.211674E+06  -0.502514E-02   0.110985E+06   0.110979E+06   0.337464E-02
   0.626457E+00   0.199130E+06   0.198172E+06  -0.126810E-01  -0.126858E-01   0.000000E+00   0.198979E+06   0.198979E+06   0.198979E+06  -0.472376E-02   0.104329E+06   0.104323E+06   0.305701E-02
   0.651512E+00   0.187192E+06   0.186292E+06  -0.110215E-01  -0.110256E-01   0.000000E+00   0.187050E+06   0.187050E+06   0.187050E+06  -0.444056E-02   0.980740E+05   0.980686E+05   0.275895E-02
   0.813640E+00   0.131320E+06   0.130690E+06  -0.495754E-02  -0.495941E-02   0.000000E+00   0.131221E+06   0.131221E+06   0.131221E+06  -0.311518E-02   0.688017E+05   0.687980E+05   0.154970E-02
   0.101611E+01   0.915824E+05   0.911427E+05  -0.221680E-02  -0.221764E-02   0.000000E+00   0.915132E+05   0.915132E+05   0.915132E+05  -0.217252E-02   0.479822E+05   0.479795E+05   0.865620E-03
   0.126897E+01   0.635310E+05   0.632261E+05  -0.986009E-03  -0.986380E-03   0.000000E+00   0.634830E+05   0.634830E+05   0.634830E+05  -0.150708E-02   0.332854E+05   0.332836E+05   0.481314E-03
   0.158475E+01   0.438605E+05   0.436499E+05  -0.436464E-03  -0.436628E-03   0.000000E+00   0.438273E+05   0.438273E+05   0.438273E+05  -0.104046E-02   0.229795E+05   0.229783E+05   0.266629E-03
   0.197912E+01   0.301497E+05   0.300050E+05  -0.192370E-03  -0.192443E-03   0.000000E+00   0.301269E+05   0.301269E+05   0.301269E+05  -0.715211E-03   0.157961E+05   0.157952E+05   0.147293E-03
   0.247162E+01   0.206436E+05   0.205446E+05  -0.844544E-04  -0.844862E-04   0.000000E+00   0.206280E+05   0.206280E+05   0.206280E+05  -0.489709E-03   0.108157E+05   0.108151E+05   0.812383E-04
   0.308668E+01   0.140845E+05   0.140169E+05  -0.369452E-04  -0.369591E-04   0.000000E+00   0.140739E+05   0.140739E+05   0.140739E+05  -0.334113E-03   0.737920E+04   0.737878E+04   0.448051E-04
   0.385480E+01   0.957828E+04   0.953227E+04  -0.161096E-04  -0.161156E-04   0.000000E+00   0.957104E+04   0.957104E+04   0.957104E+04  -0.227216E-03   0.501828E+04   0.501800E+04   0.247635E-04
   0.481406E+01   0.649448E+04   0.646327E+04  -0.700361E-05  -0.700625E-05   0.000000E+00   0.648957E+04   0.648957E+04   0.648957E+04  -0.154062E-03   0.340261E+04   0.340241E+04   0.137567E-04
   0.601203E+01   0.439162E+04   0.437048E+04  -0.303656E-05  -0.303771E-05   0.000000E+00   0.438829E+04   0.438829E+04   0.438829E+04  -0.104178E-03   0.230087E+04   0.230073E+04   0.771329E-05
