Function: power spectrum
Method: deterministic, exact
Number of grid cells: 256^3 (top-hat smoothing with shift)
Warning: some power lost by smoothing for k>1.219E+00
Procorr version 1.9
--------------------------------------------------------------
Wave vector k [1/input length unit], power spectrum p(k)
 2.902E+00, 6.395E+01, 2.630E-01
 2.932E+00, 6.213E+01, 2.529E-01
 2.962E+00, 6.102E+01, 2.459E-01
 2.992E+00, 5.992E+01, 2.390E-01
 3.022E+00, 5.813E+01, 2.296E-01
 3.052E+00, 5.746E+01, 2.247E-01
 3.082E+00, 5.632E+01, 2.181E-01
 3.112E+00, 5.523E+01, 2.118E-01
 3.142E+00, 5.361E+01, 2.037E-01
 3.172E+00, 5.273E+01, 1.984E-01
 3.202E+00, 5.180E+01, 1.931E-01
 3.231E+00, 5.084E+01, 1.878E-01
 3.261E+00, 4.968E+01, 1.818E-01
 3.292E+00, 4.911E+01, 1.781E-01
 3.321E+00, 4.816E+01, 1.731E-01
 3.351E+00, 4.738E+01, 1.688E-01
 3.381E+00, 4.654E+01, 1.643E-01
 3.411E+00, 4.535E+01, 1.587E-01
 3.441E+00, 4.466E+01, 1.549E-01
 3.471E+00, 4.378E+01, 1.506E-01
 3.501E+00, 4.319E+01, 1.473E-01
 3.531E+00, 4.286E+01, 1.449E-01
 3.561E+00, 4.216E+01, 1.413E-01
 3.590E+00, 4.121E+01, 1.370E-01
 3.620E+00, 4.067E+01, 1.341E-01
 3.650E+00, 3.997E+01, 1.307E-01
 3.680E+00, 3.936E+01, 1.277E-01
 3.710E+00, 3.888E+01, 1.251E-01
 3.740E+00, 3.826E+01, 1.221E-01
 3.770E+00, 3.794E+01, 1.201E-01
 3.800E+00, 3.742E+01, 1.176E-01
