Function: power spectrum
Method: deterministic, exact
Number of grid cells: 256^3 (top-hat smoothing with shift)
Warning: some power lost by smoothing for k>1.219E+00
Procorr version 1.9
--------------------------------------------------------------
Wave vector k [1/input length unit], power spectrum p(k)
 4.500E-02, 1.156E+04, 3.067E+03
 6.785E-02, 9.505E+03, 1.672E+03
 9.415E-02, 5.516E+03, 6.994E+02
 1.217E-01, 4.080E+03, 4.002E+02
 1.526E-01, 2.907E+03, 2.273E+02
 1.832E-01, 2.443E+03, 1.592E+02
 2.116E-01, 1.928E+03, 1.087E+02
 2.401E-01, 1.548E+03, 7.696E+01
 2.710E-01, 1.334E+03, 5.874E+01
 3.020E-01, 1.191E+03, 4.707E+01
 3.310E-01, 1.112E+03, 4.010E+01
 3.599E-01, 9.862E+02, 3.271E+01
 3.903E-01, 9.523E+02, 2.912E+01
 4.205E-01, 8.009E+02, 2.273E+01
 4.493E-01, 8.116E+02, 2.156E+01
 4.789E-01, 6.871E+02, 1.713E+01
 5.096E-01, 6.549E+02, 1.534E+01
 5.401E-01, 6.244E+02, 1.380E+01
 5.696E-01, 5.991E+02, 1.256E+01
 5.990E-01, 5.835E+02, 1.163E+01
 6.293E-01, 5.463E+02, 1.036E+01
 6.593E-01, 5.127E+02, 9.283E+00
 6.888E-01, 4.830E+02, 8.370E+00
 7.184E-01, 4.897E+02, 8.138E+00
 7.484E-01, 4.581E+02, 7.307E+00
 7.788E-01, 4.348E+02, 6.664E+00
 8.087E-01, 4.274E+02, 6.308E+00
 8.386E-01, 4.020E+02, 5.723E+00
 8.686E-01, 3.945E+02, 5.421E+00
 8.983E-01, 3.783E+02, 5.027E+00
 9.281E-01, 3.677E+02, 4.728E+00
 9.578E-01, 3.600E+02, 4.487E+00
 9.876E-01, 3.449E+02, 4.169E+00
 1.018E+00, 3.364E+02, 3.945E+00
 1.048E+00, 3.169E+02, 3.611E+00
 1.078E+00, 3.165E+02, 3.505E+00
 1.108E+00, 3.007E+02, 3.241E+00
 1.138E+00, 3.016E+02, 3.164E+00
 1.167E+00, 2.863E+02, 2.928E+00
 1.197E+00, 2.818E+02, 2.810E+00
 1.227E+00, 2.750E+02, 2.675E+00
 1.257E+00, 2.620E+02, 2.488E+00
 1.287E+00, 2.514E+02, 2.331E+00
 1.317E+00, 2.493E+02, 2.260E+00
 1.347E+00, 2.423E+02, 2.147E+00
 1.377E+00, 2.370E+02, 2.055E+00
 1.406E+00, 2.299E+02, 1.951E+00
 1.436E+00, 2.226E+02, 1.850E+00
 1.466E+00, 2.180E+02, 1.774E+00
 1.497E+00, 2.124E+02, 1.694E+00
 1.526E+00, 2.070E+02, 1.619E+00
 1.556E+00, 1.993E+02, 1.528E+00
 1.586E+00, 1.932E+02, 1.454E+00
 1.616E+00, 1.888E+02, 1.394E+00
 1.646E+00, 1.809E+02, 1.312E+00
 1.676E+00, 1.781E+02, 1.269E+00
 1.706E+00, 1.733E+02, 1.213E+00
 1.736E+00, 1.686E+02, 1.160E+00
 1.766E+00, 1.650E+02, 1.115E+00
 1.795E+00, 1.593E+02, 1.059E+00
 1.826E+00, 1.548E+02, 1.012E+00
 1.855E+00, 1.514E+02, 9.739E-01
 1.885E+00, 1.466E+02, 9.283E-01
 1.915E+00, 1.415E+02, 8.819E-01
 1.945E+00, 1.383E+02, 8.485E-01
 1.975E+00, 1.344E+02, 8.120E-01
 2.005E+00, 1.318E+02, 7.847E-01
 2.035E+00, 1.293E+02, 7.587E-01
 2.065E+00, 1.248E+02, 7.216E-01
 2.095E+00, 1.218E+02, 6.939E-01
 2.125E+00, 1.181E+02, 6.633E-01
 2.154E+00, 1.142E+02, 6.329E-01
 2.184E+00, 1.127E+02, 6.159E-01
 2.214E+00, 1.094E+02, 5.899E-01
 2.244E+00, 1.061E+02, 5.643E-01
 2.274E+00, 1.033E+02, 5.420E-01
 2.304E+00, 1.010E+02, 5.231E-01
 2.334E+00, 9.896E+01, 5.061E-01
 2.364E+00, 9.647E+01, 4.871E-01
 2.394E+00, 9.364E+01, 4.669E-01
 2.424E+00, 9.139E+01, 4.501E-01
 2.454E+00, 8.977E+01, 4.367E-01
 2.484E+00, 8.725E+01, 4.193E-01
 2.513E+00, 8.574E+01, 4.072E-01
 2.543E+00, 8.334E+01, 3.911E-01
 2.573E+00, 8.208E+01, 3.807E-01
 2.603E+00, 7.966E+01, 3.653E-01
 2.633E+00, 7.792E+01, 3.533E-01
 2.663E+00, 7.636E+01, 3.423E-01
 2.693E+00, 7.516E+01, 3.331E-01
 2.723E+00, 7.268E+01, 3.186E-01
 2.753E+00, 7.128E+01, 3.091E-01
 2.783E+00, 6.989E+01, 2.998E-01
 2.813E+00, 6.784E+01, 2.879E-01
 2.842E+00, 6.648E+01, 2.792E-01
 2.872E+00, 6.502E+01, 2.702E-01
